<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<OPEN>,<LAST>
2001-11-18,8.030409562130485,8.034631032923107,8.019941687677365,8.033009498596668,849996413.0,277471,221,8.033009498596668,8.033009498596668
2001-11-19,8.033009498596668,8.036249942132116,8.026823576217629,8.033009498596668,1301406154.0,422986,250,8.033009498596668,8.033009498596668
2001-11-20,8.031060180240619,8.03268487596762,8.023552392404348,8.0323601479245,742001745.0,241997,201,8.033009498596668,8.0323601479245
2001-11-21,8.03073492409854,8.033334015880062,8.02322468471667,8.033334015880062,3338814279.0,1090923,355,8.0323601479245,8.033334015880062
2001-11-24,8.03398273468322,8.052614818815567,8.03365842788615,8.049107721326406,2049750015.0,658566,319,8.033334015880062,8.049107721326406
2001-11-25,8.049107721326406,8.055475141757274,8.047189562170502,8.049427057110695,2885725384.0,920308,343,8.049107721326406,8.049427057110695
2001-11-26,8.0519780789023,8.055157731819678,8.048788283534199,8.049107721326406,1393187889.0,444696,258,8.049427057110695,8.049107721326406
2001-11-27,8.043342170441608,8.049107721326406,7.6236419465115715,8.036249942132116,2684566512.0,1095926,919,8.049107721326406,8.036249942132116
2001-11-28,8.036573409707312,8.045908742270779,8.029758520440822,8.039802343736485,2703988720.0,874098,329,8.036249942132116,8.039802343736485
2001-12-01,8.04012466444838,8.045908742270779,8.036249942132116,8.043342170441608,2379189579.0,766443,305,8.039802343736485,8.043342170441608
2001-12-02,8.045908742270779,8.055475141757274,8.043342170441608,8.055475141757274,1964658269.0,628847,322,8.043342170441608,8.055475141757274
2001-12-03,8.055475141757274,8.057060681965766,8.053251153549096,8.057060681965766,2729858078.0,866551,333,8.055475141757274,8.057060681965766
2001-12-04,8.057060681965766,8.057377488557991,8.055475141757274,8.057377488557991,2821895902.0,894922,350,8.057060681965766,8.057377488557991
2001-12-05,8.055475141757274,8.058010800802085,8.055475141757274,8.058010800802085,1997156578.0,633147,313,8.057377488557991,8.058010800802085
2001-12-08,8.058010800802085,8.058643712215618,8.052296499538647,8.053887083618223,1339176930.0,425423,279,8.058010800802085,8.053887083618223
2001-12-09,8.05356916913454,8.055475141757274,8.043020885298283,8.045267716607803,1134166776.0,362104,267,8.053887083618223,8.045267716607803
2001-12-10,8.042699496897637,8.055475141757274,8.041091003708633,8.049107721326406,1458025294.0,464572,285,8.045267716607803,8.049107721326406
2001-12-11,8.051340933292979,8.05356916913454,8.047189562170502,8.047189562170502,1559052546.0,497744,261,8.049107721326406,8.047189562170502
2001-12-12,8.047509510981422,8.0519780789023,8.046229101075378,8.049427057110695,1289672921.0,412146,275,8.047189562170502,8.049427057110695
2001-12-15,8.049427057110695,8.061802274538348,8.049427057110695,8.061802274538348,2347097894.0,744561,302,8.049427057110695,8.061802274538348
2001-12-17,8.061802274538348,8.092239406724211,8.061802274538348,8.09162741160107,3608788311.0,1123508,477,8.061802274538348,8.09162741160107
2001-12-18,8.095293776844649,8.11701408773731,8.09437844497296,8.101677747454572,4123092815.0,1239887,514,8.09162741160107,8.101677747454572
2001-12-19,8.098946748943339,8.101980731853192,8.0774471493312,8.101980731853192,4808565989.0,1468103,355,8.101677747454572,8.101980731853192
2001-12-22,8.098946748943339,8.098946748943339,8.089789175789319,8.0959035329611,1891001701.0,577195,277,8.101980731853192,8.0959035329611
